owner,token
dao123451234,36.6773 EOS
eosairuqixue,1.9686 EOS
dsj555555555,3.1400 EOS
steemdonekim,0.2837 EOS
larkspur5555,2.2042 EOS
bitdog333555,0.7442 EOS
xuanxiaomaob,0.1223 EOS
oyxmeos12345,0.4158 EOS
aollx5555555,0.1103 EOS
puqihepuqihe,2.6710 EOS
yfcjiqiangxx,0.1593 EOS
eosgaulle123,6.3660 EOS
hedongyufund,2.1254 EOS
dongyifangcn,5.7697 EOS
tymmtymmtymm,0.0132 EOS
zkxhfjh54321,0.2938 EOS
geytknzxguge,63.9958 EOS
bolang222111,5.0428 EOS
yuzhipengaaa,0.0009 EOS
alibaba11.tp,0.0136 EOS
zhou.yfc,1.2049 EOS
gmajor512333,0.8960 EOS
caizhihang55,1.1611 EOS
zqrgdqyhy123,0.0002 EOS
hellomykey11,0.0109 EOS
biseostorage,0.6467 EOS
geteoseasy22,0.0106 EOS
g4ztcmzqgege,0.0705 EOS
12345.com,9.1000 EOS
yjydheyaoeos,28.4521 EOS
zengxiangang,0.4413 EOS
myfirstkey11,0.8712 EOS
mate3xilie11,0.0122 EOS
lovexixichen,5.9059 EOS
dnrreg21v5en,0.0008 EOS
xxeosxxeosxx,3.0867 EOS
zwmdeeos1.tp,2.3320 EOS
wszfj5151515,0.0666 EOS
sakatsukieos,1.4968 EOS
creativethot,0.0309 EOS
bjc1jin2c123,0.0421 EOS
feifei222111,0.0221 EOS
eosotcotc111,1.1686 EOS
jianghesiwen,2.7182 EOS
eos555555eth,0.0063 EOS
ljfree123451,0.9228 EOS
4xk2zgdlr.tp,0.4150 EOS
lilikewoaini,0.9625 EOS
gm3dmmzsgege,0.0025 EOS
suger1234.tp,0.0067 EOS
fuyongquan11,3.9388 EOS
zztaoyong.tp,1.7290 EOS
wenyouqiyuan,9.6430 EOS
luochaoping1,0.7612 EOS
wei221tao221,0.0004 EOS
firstpoolyfi,89.8223 EOS
huangyating1,0.0345 EOS
gaojiale1234,0.0036 EOS
geytqmrrgene,7.9204 EOS
igfxbfst5125,0.6610 EOS
jackmeicash1,18.3165 EOS
cccccccyyyyy,0.1918 EOS
mykeyshao55m,0.0273 EOS
he3y3t1da.tp,3.1637 EOS
vivifyingleo,1.0036 EOS
sujianfafafa,7.3661 EOS
zhangzengmin,0.1756 EOS
caikui223355,0.0294 EOS
ha4doobqgqge,0.1918 EOS
lovehuangmin,142.3988 EOS
emilmihaylov,0.8578 EOS
xiyatueos222,1.3717 EOS
eosnanning12,0.5043 EOS
43xc15etk3do,0.3614 EOS
jianglinxi11,0.9409 EOS
gu3dsmjzgige,0.1590 EOS
lover5555.tp,0.7704 EOS
eossupershow,2.7914 EOS
loe123123.tp,0.5703 EOS
tinselttown1,0.0040 EOS
legopiass.tp,16.9754 EOS
leon33512111,0.0593 EOS
nmendesxxxxx,0.0900 EOS
chunyueos123,0.0232 EOS
mykeybihueos,1.6720 EOS
4darbcopjfun,0.1252 EOS
chunge555555,0.1344 EOS
allneedlov.e,0.0575 EOS
icenine22.tp,0.1424 EOS
12qazwsxedcr,0.6577 EOS
buildmydream,81.7933 EOS
eos121doudou,0.0579 EOS
kangsunghwab,31.5979 EOS
youyou.x,7.4665 EOS
lingzuishand,0.0118 EOS
woaini525252,0.0106 EOS
bluebay.up,2.6998 EOS
focusandview,2.5752 EOS
samsungstore,1.5535 EOS
defibox11111,0.0689 EOS
nocorebecore,0.1661 EOS
eosjammygu12,6.7187 EOS
eoslonglives,0.0250 EOS
eosubroutine,0.1009 EOS
eostomoon555,0.2660 EOS
qingkongdy22,9.5621 EOS
king3hz12345,0.0048 EOS
liyiyi131415,1.6894 EOS
fengqizhang1,0.1109 EOS
bnanbnanbnan,0.1118 EOS
fajiaojun123,0.0271 EOS
richsingsing,54.1683 EOS
tzdhilp1wf2d,0.3510 EOS
eoskeytp3333,0.1082 EOS
mingting1314,0.0828 EOS
ryin52rita52,5.3532 EOS
robertiori11,0.1001 EOS
jianbin54321,1.6294 EOS
ez2eosmother,3.6146 EOS
333334444.tp,0.1097 EOS
brasgsxxugn5,0.0211 EOS
yr5fpagrggk5,8.4407 EOS
wglzyszaq555,1.7073 EOS
hazdsnjwgige,0.0158 EOS
xfaz3vpq4psc,0.4810 EOS
eosxiang2111,0.0313 EOS
hechunspring,0.0933 EOS
eoschina5111,0.0001 EOS
huimouyixiao,21.9928 EOS
chunkycherry,0.0073 EOS
leonardeosio,0.0143 EOS
randomly1234,0.0005 EOS
nicoleou2222,0.2559 EOS
adminsssssss,0.2662 EOS
dengpingbo22,0.2200 EOS
consensuskey,0.0621 EOS
tuolaji12345,0.7245 EOS
kidante14123,0.0177 EOS
yellowwei111,76.3227 EOS
shshizhibin1,0.0319 EOS
iamveryhappy,6.9303 EOS
2hqfrtc52vqx,0.0110 EOS
sm5kiiy2jddy,0.1240 EOS
swxxrxgksae2,7.3789 EOS
suchen111111,0.0510 EOS
135135135.tp,0.0374 EOS
mcfart.ftw,0.0024 EOS
kcrmzqle2pkf,0.0011 EOS
xdb222222.tp,0.0207 EOS
bihuidmykey1,6.9667 EOS
timetosaybye,0.2904 EOS
wangyihai123,0.2801 EOS
ameliaxia521,0.2854 EOS
hz1414211111,0.0605 EOS
k2zq5lkkulff,0.0001 EOS
qwerasdfc.tp,0.0012 EOS
cs.bank,0.1810 EOS
haichaozzzsy,0.7009 EOS
dfs.eos,3.6375 EOS
atby4axo35uf,0.0054 EOS
cangmang1234,0.2122 EOS
qyl121212333,0.0778 EOS
haytmobzgige,0.0058 EOS
awayfromduck,0.4147 EOS
longshao5555,21.5270 EOS
xiaojie32145,11.1811 EOS
ivylm5555555,0.0066 EOS
eoseosljbljb,0.0850 EOS
3hz5q2dhhie3,0.0737 EOS
eoswxp111111,0.0001 EOS
hxldj5521hxl,0.9425 EOS
lizhenxing12,0.0204 EOS
